NP_570602.2	GO:0001775	0.129
NP_570602.2	GO:0002376	0.214
NP_570602.2	GO:0002682	0.189
NP_570602.2	GO:0002683	0.159
NP_570602.2	GO:0002684	0.110
NP_570602.2	GO:0003674	0.521
NP_570602.2	GO:0003824	0.154
NP_570602.2	GO:0004888	0.138
NP_570602.2	GO:0005102	0.162
NP_570602.2	GO:0005488	0.355
NP_570602.2	GO:0005515	0.275
NP_570602.2	GO:0005575	0.727
NP_570602.2	GO:0005576	0.291
NP_570602.2	GO:0005615	0.272
NP_570602.2	GO:0005622	0.538
NP_570602.2	GO:0005737	0.514
NP_570602.2	GO:0005773	0.336
NP_570602.2	GO:0005886	0.500
NP_570602.2	GO:0006810	0.105
NP_570602.2	GO:0006950	0.291
NP_570602.2	GO:0006952	0.243
NP_570602.2	GO:0006955	0.147
NP_570602.2	GO:0007154	0.416
NP_570602.2	GO:0007155	0.103
NP_570602.2	GO:0007165	0.416
NP_570602.2	GO:0007166	0.332
NP_570602.2	GO:0007167	0.155
NP_570602.2	GO:0007275	0.138
NP_570602.2	GO:0008150	0.665
NP_570602.2	GO:0008152	0.327
NP_570602.2	GO:0009058	0.243
NP_570602.2	GO:0009059	0.192
NP_570602.2	GO:0009605	0.147
NP_570602.2	GO:0009607	0.145
NP_570602.2	GO:0009719	0.112
NP_570602.2	GO:0009725	0.107
NP_570602.2	GO:0009889	0.175
NP_570602.2	GO:0009891	0.105
NP_570602.2	GO:0009893	0.110
NP_570602.2	GO:0009966	0.136
NP_570602.2	GO:0009968	0.101
NP_570602.2	GO:0009987	0.635
NP_570602.2	GO:0010467	0.182
NP_570602.2	GO:0010468	0.166
NP_570602.2	GO:0010556	0.166
NP_570602.2	GO:0010557	0.102
NP_570602.2	GO:0010604	0.105
NP_570602.2	GO:0010646	0.137
NP_570602.2	GO:0010648	0.101
NP_570602.2	GO:0012505	0.328
NP_570602.2	GO:0016020	0.629
NP_570602.2	GO:0016043	0.107
NP_570602.2	GO:0019222	0.186
NP_570602.2	GO:0023051	0.139
NP_570602.2	GO:0023052	0.416
NP_570602.2	GO:0023057	0.101
NP_570602.2	GO:0030141	0.270
NP_570602.2	GO:0030154	0.125
NP_570602.2	GO:0031090	0.105
NP_570602.2	GO:0031091	0.193
NP_570602.2	GO:0031093	0.193
NP_570602.2	GO:0031410	0.294
NP_570602.2	GO:0031974	0.256
NP_570602.2	GO:0031982	0.321
NP_570602.2	GO:0031983	0.193
NP_570602.2	GO:0032501	0.249
NP_570602.2	GO:0032502	0.169
NP_570602.2	GO:0034774	0.193
NP_570602.2	GO:0038023	0.232
NP_570602.2	GO:0042221	0.217
NP_570602.2	GO:0043170	0.214
NP_570602.2	GO:0043207	0.145
NP_570602.2	GO:0043226	0.465
NP_570602.2	GO:0043227	0.459
NP_570602.2	GO:0043229	0.452
NP_570602.2	GO:0043230	0.221
NP_570602.2	GO:0043231	0.436
NP_570602.2	GO:0043233	0.255
NP_570602.2	GO:0044238	0.204
NP_570602.2	GO:0044419	0.150
NP_570602.2	GO:0045087	0.107
NP_570602.2	GO:0045321	0.114
NP_570602.2	GO:0048468	0.104
NP_570602.2	GO:0048518	0.174
NP_570602.2	GO:0048519	0.254
NP_570602.2	GO:0048522	0.174
NP_570602.2	GO:0048523	0.238
NP_570602.2	GO:0048583	0.208
NP_570602.2	GO:0048584	0.103
NP_570602.2	GO:0048585	0.133
NP_570602.2	GO:0048731	0.102
NP_570602.2	GO:0048856	0.161
NP_570602.2	GO:0048869	0.125
NP_570602.2	GO:0050776	0.129
NP_570602.2	GO:0050789	0.493
NP_570602.2	GO:0050793	0.104
NP_570602.2	GO:0050794	0.483
NP_570602.2	GO:0050865	0.122
NP_570602.2	GO:0050896	0.510
NP_570602.2	GO:0051179	0.106
NP_570602.2	GO:0051234	0.105
NP_570602.2	GO:0051239	0.209
NP_570602.2	GO:0051240	0.127
NP_570602.2	GO:0051241	0.152
NP_570602.2	GO:0051707	0.145
NP_570602.2	GO:0051716	0.431
NP_570602.2	GO:0060089	0.232
NP_570602.2	GO:0060205	0.193
NP_570602.2	GO:0060255	0.180
NP_570602.2	GO:0065007	0.499
NP_570602.2	GO:0065010	0.221
NP_570602.2	GO:0070013	0.255
NP_570602.2	GO:0070062	0.221
NP_570602.2	GO:0070887	0.180
NP_570602.2	GO:0071495	0.104
NP_570602.2	GO:0071840	0.116
NP_570602.2	GO:0071944	0.514
NP_570602.2	GO:0072562	0.193
NP_570602.2	GO:0080090	0.104
NP_570602.2	GO:0080134	0.101
NP_570602.2	GO:0097708	0.294
NP_570602.2	GO:0098542	0.108
NP_570602.2	GO:0099503	0.279
NP_570602.2	GO:0101002	0.232
NP_570602.2	GO:0110165	0.727
NP_570602.2	GO:0140546	0.108
NP_570602.2	GO:1901698	0.106
NP_570602.2	GO:1901700	0.184
NP_570602.2	GO:1901701	0.170
NP_570602.2	GO:1903561	0.221
NP_570602.2	GO:1904813	0.193
